id,SIREN,ANNEE_CREATION,target_delta_1st_round,NAME,TAGLINE,ZIPCODE,HQ REGION,HQ COUNTRY,HQ CITY,TEAM (EDITORIAL),target_total_funding,fundoing_new,LAST FUNDING,LAST FUNDING DATE,FIRST FUNDING DATE,B2B/B2C,REVENUE MODEL,10_launch_year,11_industry_simplified,INDUSTRIES,SUB INDUSTRIES,DELIVERY METHOD,GROWTH STAGE,VALUATION (EUR),VALUATION DATE,target_rounds,FOUNDERS,0_founders_number,6_was_1_change_founders,FOUNDERS STATUSES,5_has_female,5_bis_mixte?,FOUNDERS GENDERS,FOUNDERS ACADEMIC BACKGROUND,FOUNDERS YEARS OF EDUCATION,4_phd_founder,FOUNDERS HAS A PHD,7_MBA,FOUNDERS HAS A MBA,FOUNDERS HIGHEST DEGREE YEAR,FOUNDERS UNIVERSITIES,FOUNDERS COMPANY EXPERIENCE,FOUNDERS LINKEDIN,FOUNDERS - TOP 25 PAST FOUNDERS,FOUNDERS - TOP 25 UNIVERSITIES,FOUNDERS EXPERIENCE,FOUNDERS FOUNDED COMPANIES TOTAL FUNDING,FOUNDERS IS SERIAL,3_one_founder_serial,3_one_founder_was_serial_at_creation,IS FOUNDERS FIRST COMPANY,LISTS,PRIVATE LISTS,COMPANY STATUS,ALL TAGS,FOUNDERS ESTIMATED AGE,FOUNDERS POSITION,CEO,CEO SINCE,2_ceo_profile,8_age_moyen,CEO ESTIMATED AGE,CEO ACADEMIC BACKGROUND,1_ceo_serial,NUMBER OF ALUMNI FOUNDERS THAT RAISED > 10M,NUMBER OF ALUMNI EUROPEAN FOUNDERS THAT RAISED > 10M,TECHNOLOGIES
,381245943,15/3/1991,#NUM!,HYPERION SARL,,,,,,,,,,,,,,,,,,,,,,,Thierry Glas,1,1,past,0,0,male,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,#N/A,#N/A,#N/A,#N/A,72,founder,Guy Harari,2007,72,founder,Guy Harari,2007,business,67,67,#N/A,1,,,
,844441048,5/12/2018,#NUM!,I-COR TECHNOLOGIES,,,,,,,,,,,,,,,,,,,,,,,Andrei Cividjian,1,0,current,0,0,male,university,8+,1,yes,0,no,#N/A,Université Claude Bernard,mixte,https://www.linkedin.com/i#N/Andrei-cividjian-2b610a2/,,,#N/A,,no,0,0,yes,48,CEO,Andrei Cividjian,2018,48,CEO,Andrei Cividjian,2018,mixte,48,48,Université Claude Bernard,0,,,
,801122664,5/3/2014,#NUM!,ID NEST MEDICAL,,,,,,,,,,,,,,,,,,,,,,,Nabil Chakfe,1,0,current,0,0,male,university,8+,1,yes,0,no,1995,Laval university,other,,,,24,,no,0,0,yes,,,,,62,co-founder,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
,539997783,17/2/2012,#NUM!,IHMTEK,,,,,,,,,,,,,,,,,,,,,,,César Mendoza,1,0,current,0,0,male,university,8+,1,yes,0,no,2003,Grenoble INP - UGA,corporate,,,,17,,yes,1,1,no,,,,,47,CEO,Cédric Mendoza,2011,mixte,47,47,Grenoble INP - UGA,1,,,
,832313431,7/9/2017,#NUM!,IMAB,,,,,,,,,,,,,,,,,,,,,,,Bernard Pau,1,0,current,0,0,male,university,8+,1,yes,0,no,#N/A,#N/A,#N/A,,,,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,,57,CEO,Bernard Paul,2017,engineer,57,57,#N/A,#N/A,,,
,814742748,13/11/2015,#NUM!,IMACTIV-3D,,,,,,,,,,,,,,,,,,,,,,,Jean-Michel Lagarde,1,0,current,0,0,male,engineer,5+,0,no,0,no,1990,Ecole Nationale Supérieure d'Ingénieur de Physique de Marseille,corporate,,,,27,,no,0,0,yes,,,,,52,CEO,Jean-Michel Lagarde,2015,engineer,52,52,Ecole Nationale Supérieure d'Ingénieur de Physique de Marseille,0,,,
,833640022,23/11/2017,#NUM!,I-MC,,,,,,,,,,,,,,,,,,,,,,,DOMINIQUE NOZAIS ,1,0,current,0,0,male,engineer,#N/A,0,no,0,no,#N/A,Ecole d'ingénieur du CESI,#N/A,,,,16,,no,0,0,yes,,,,,#N/A,CEO,Dominique Nozais,2017,engineer,#N/A,#N/A,Ecole d'ingénieur du CESI,0,,,
,791643919,11/2/2013,#NUM!,IMMATIS,,,,,,,,,,,,,,,,,,,,,,,Dominique Surun,1,1,past,1,1,female,#N/A,8+,#N/A,#N/A,1,yes,2000,HEC,other,,,,28,,yes,1,1,no,,,,,59,past,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
,795206887,31/7/2013,#NUM!,ALTIMMUNE FRANCE,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,Vipin Garg,2018,engineer,58,58,Drexel University,0,,,
,824165377,8/12/2016,#NUM!,IMMUNRISE BIOCONTROL FRANCE,,,,,,,,,,,,,,,,,,,,,,,Laurent de Carasto;Lionel Navarro,2,0,current;current,0,0,male;male,#N/A;#N/A,#N/A;#N/A,0,#N/A;#N/A,0,#N/A;#N/A,#N/A;#N/A,#N/A;#N/A,#N/A;#N/A,,,,14;#N/A,,yes;#N/A,1,1,no;#N/A,,,,,45;45,CEO;co-founder,Laurent de Crasto,2015,#N/A,45,45,#N/A,1,,,
